DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_GIND(1.0),05/07/21 23:00:00,A,AVG,DK,2012,5580516,
ESTAT:DEMO_GIND(1.0),05/07/21 23:00:00,A,AVG,DK,2012,5591572,
ESTAT:DEMO_GIND(1.0),05/07/21 23:00:00,A,AVG,DK,2013,5614932,
ESTAT:DEMO_GIND(1.0),05/07/21 23:00:00,A,AVG,DK,2014,5643475,
ESTAT:DEMO_GIND(1.0),05/07/21 23:00:00,A,AVG,DK,2015,5683483,
ESTAT:DEMO_GIND(1.0),05/07/21 23:00:00,A,AVG,DK,2016,5728010,
ESTAT:DEMO_GIND(1.0),05/07/21 23:00:00,A,AVG,DK,2017,5764980,
ESTAT:DEMO_GIND(1.0),05/07/21 23:00:00,A,AVG,DK,2018,5793636,
ESTAT:DEMO_GIND(1.0),05/07/21 23:00:00,A,AVG,DK,2019,5814422,
ESTAT:DEMO_GIND(1.0),05/07/21 23:00:00,A,AVG,DK,2020,5831404,
